Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Camin de batrani Healthy Living";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"Healthy Living este un centru de ingrijire a persoanelor varstnice situat in Sectorul 1 al capitalei, intr-o zona verde si nepoluata, amplasata intre doua lacuri: Lacul Grivita si Lacul Baneasa. In acelasi timp uniatea este in imediata apropiere a unor importante repere ale capitalei, cum ar fi: Parcul Herastrau, Casa Presei Libere. Centrul este format din personal bine calificat, cu multa experienta, care doreste ca rezidentii nostri sa aiba parte de o batranete linistita, senina si de o viata cat mai lunga. De asemenea, desi nu este o unitate spitaliceasca centrul nostru poate ajuta la recuperarea functionala a rezidentilor utilizand mijloace specifice de fiziokinetoterapie. Obiectivul nostru fundamental este sa ajutam persoanele care, aflate la varsta senectutii, au nevoie de ajutorul nostru, cat si sa amelioram suferintele celor aflati in cea mai dificila perioada a vietii lor. Nutritia rezidentilor Centrul nostru acorda o atentie deosebita alimentatiei corecte cu regimuri diferentiate in functie de afectiunile fiecarui rezident. Acest obiectiv este asigurat prin facilitatile unei bucatarii proprii, hrana fiind preparata zilnic de bucatar calificat. Petrcerea timpului liber Unitatea noastra asigura o sala in care rezidentii nostri pot socializa sau pot participa la diferite activitati in comun: vizionare filme, jocuri, petreceri de zile festive. Asistenta specializata Personalul nostru specializat va administra medicatia corespunzatoare fiecarei afectiuni. In cazuri deosebite putem asigura consultatie medic specialist contra cost."
"Camin de Lux pentru Seniori 4 Generatii";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Un loc linistit, curat, cu iarba verde si piscina. Un loc unde orice persoana, indiferent de varsta ar locui cu placere . Living superb, conditii excelente, completate de bunavointa si profesionalismul celor care lucreaza aici, cu suflet si dragoste pentru cei din jur."
"Cuore Family";;;;;;;;"Asistenta medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Situat in zona de nord a Capitalei, la 50 m de Padurea Baneasa, caminul Cuore Family va asteapta intr-o vila noua, cu dotari moderne si conditii europene. Personalul dedicat va face tot posibilul pentru ca cei dragi dumneavoastra sa fie excelent ingrijiti, sa nu se simta singuri si sa nu fie vreodata in pericol, asa cum ar putea fi daca locui sau ramane singuri in casa."
"Camin batrani Floriana House";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Caminul de batrani FLORIANA HOUSE ofera conditii de cazare preferate de toti batrani, varstnici care doresc sa petreaca timpul intr-un mediu linistit, curat si sa fie tratati cu respect de personalul calificat. Persoanele varstnice care au diferite probleme beneficieaza de atentie suplimentara si astfel cei suferinzi de: Alzheimer, mobilizati la pat, atacuri cerebrale gasesc la noi un camin pentru batrani adaptat necesitatilor specifice fiecaruia.Caminul de batrani Floriana House a fost creat pentru a reda caldura specifica de “acasa” ,menit sa ofere siguranta si confortul necesar seniorilor familiei dumneavoastra.Va oferim conditii de cazare la cele mai inalte standarde pentru ca meritati sa fiti tratati cu profesionalism de cei mai buni.- controlul regulat al starii generale de sanatate de catre medic; – supraveghere continua, 24 de ore din 24; – administrarea hranei pentru pacientii incapacitati; – administrarea medicamentelor; – exercitii fizice in concordanta cu conditia fizica a pacientului; – curatenia, igienizarea si aerisirea camerei; – promenade in curte sub supraveghere"
"Camin de batrani Acasa";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"Situat in judetul Ilfov, Comuna Ciorogarla, Strada Ana Ipatescu, Nr. 100B, la 10 km de Bucuresti, intr-un loc ferit de zgomot si poluare, pozitionat in plin cadru rural, langa padure si manastire, locul unde seniorii nostri se vor simti ca acasa! Caminul nostru isi desfasoara activitatea intr-o cladire noua si moderna, structurata pe 3 nivele, cu o capacitate de 35 locuri. La fiecare 2 dormitoare se afla o camera de zi spatioasa unde seniorii pot desfasura o serie de activitati recreative intr-o atmosfera placuta. De asemenea curtea este amenajata cu spatiu pentru parcare, alei, spatii de relaxare cu banci, mese, balansoar, flori si arbori ornamentali. Familia si prietenii sunt oricand bineveniti in cadrul centrului pentru a pastra o legatura permanenta cu cei dragi."
"Camin de batrani BIO CASANOVA";;;;;;;;;;;;;;;;"BIO CASANOVA – este un modern camin pentru batrani situat in zona “Troianu” a localitatii Rm. Valcea. Capacitatea este de 45 locuri in camere cu un pat sau doua. Pe langa alte caracteristici cum ar fi gradul de calificare al personalului, dotarea tehnico-medicala adecvata, cadrul interior si exterior pentru relaxare, destindere, socializare si divertisment, Important este faptul ca hrana pentru persoanele cazate la Bio Casanova, este diversa, naturala fiind asigurata in intregime din productia si ferma proprie a caminului. Pentru mai multe detalii nu ezitati sa ne contactati."
"Senior Care";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Recuperare medicala";;;;;;;;"Caminul Senior Care se afla intr-un loc ferit de zgomot si poluare, pozitionat in cadru rural, fiind inconjurat de dealuri si foarte mult verdeata. Oraselul Balcesti, in care se afla caminul Senior Care, este situat la doar 39 km de Craiova, 45 de Dragasani si 80de km de Ramnicu Valcea. Acesta dispune de saloane luminoase si incapatoare, club de socializare,sala de mese, curte si gradina de 10000 mp precum si o ferma proprie. Venind aici reprezentanti varstei a treia sevor bucura pe de o parte de odihna si tratament si pe de alta parte se vor putea implica in o multime de activitat de socializare si petrecerea timpului liber sub atenta supraveghere a unui personal calificat."
"Camin de batrani Bitu";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Cazare, 3 mese principale si 2 gustari intre mese bucatarie naturala pentru toate gusturile si toate dietele cu produse din ferme ecologice Ceai, cafea, fructe de sezon si sucuri all inclusive Pe timpul rezidentei se respecta obiceiurile alimentare, culturale, religioase si sarbatorile religioase ale rezidentilor Ambient placut Medic de familie, asistenta medicala permanent, servicii de spalatorie, frizerie, coafor si stomatologie Tratament cu ape minerale aduse la pensiune, proceduri medicale, masaj de relaxare, opticoterapie, vacum , reflexoterapie Spatii pentru petrecerea timpului liber, organizarea petrecerilor de sarbatori si zilelor de nastere, activitatii interactive excursi la bisericile si manastirile din zona."
"Asociatia de Batrani Sf. Maria";;;;;;;;"Ingrijire persoane varstnice";;;;;;;;"Caminul de batrani din cadrul Asociatiei de Batrani Sf. Maria – Tulcea este caminul ideal conceput si organizat pentru a veni in sprijinul familiilor cu persoane de varsta a treia care nu au timpul necesar pentru a le ingriji. Situat intr-un cadru natural deosebit, la periferia orasului, ferit de zgomot si poluare, situat chiar pe malul lacului Caslita, ofera servicii personalizate, incercand sa creeze o atmosfera calda si responsabila asemanatoare propriului camin."
"Camin Relax Balneo";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Caminul de batrani RELAX BALNEO este un centru rezidential modern dedicat ingrijirii persoanelor in varsta, situat chiar la intrarea in municipiul Ramnicu Valcea de pe Drumul National 7. Clientii beneficiaza de personal profesionist si calificat, ingrijire atenta, asistenta in recuperare, toate la un raport pret/calitate competitiv cuprinse intr-un pachet personalizat pentru fiecare. – Baie proprie – 2 paturi in camera – Frigider – Telefon – Internet – Spatii de recreere"
"Azil camin batrani Casa Dobrogeana";;;;;;;;"Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;;;"Aflata intr-un cartier rezidential, inconjurata de multa vegetatie si copaci, Casa Dobrogeana este un loc curat, linistit pentru persoane ce au nevoie de relaxare"
"Premium Senior";;;;"Str. Popești Români, Nr. 66, Popești Leordeni, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/premium-senior-photo-5.jpg;https://www.batranifericiti.ro/photos/companies/premium-senior-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/premium-senior-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/premium-senior-photo-3.jpg";;
"Căminul De Bătrâni Ema";;;;"Str. Dimitrie Cantemir, Nr. 1, Pantelimon, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-12.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-ema-photo-11.jpg";;
"Căminul De Bătrâni Sf. Maria";;;;"Sos. Oltenitei, Nr. 6-8, Popesti-Leordeni, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sf-maria-photo-1.jpg;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sf-maria-logo.jpg;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sf-maria-photo-1.jpg;;
"Casa Măndescu";;;;"Str. Nicolae Simionescu 33, Jilava, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-5.jpg;;;;"https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/casa-mandescu-photo-2.jpg";;
"Asociația Monsan";;;;"Str. Witting Nr. 30, Sect. 1, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-3.jpg;https://www.batranifericiti.ro/photos/companies/asociatia-monsan-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/asociatia-monsan-photo-1.jpg";;
"Casa Maria Blanca";;;;"Str. Nicolae Balcescu 57A, Sat Pasarea, Branesti, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/casa-maria-blanca-photo-3.jpg";;
"Centrul Rezidențial Casa De Odihnă";;;;"Str. Scolii, Nr. 2a, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-photo-4.jpg;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-casa-de-odihna-photo-3.jpg";;
"Iacob Care Senior Center";;;;"Str. Micșunelelor 258, Comuna Dragomirești Vale, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-1.jpg;https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/iacob-care-senior-center-photo-4.jpg";;
"Căminul De Bătrâni Sfântul Ilie - Ghencea";;;;"Str. Drum Dârvari, Nr. 34, Sector 5, București, București";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-5.jpg;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sfantul-ilie-ghencea-photo-4.jpg";;
"Centrul Rezidențial Cămin Bunici";;;;"Str. Dragos Voda Nr. 2a-2b, Pipera, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-10.jpg;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-camin-bunici-photo-7.jpg";;
"Centrul Rezidențial Tărâmul Bunicilor";;;;"Str. Marasesti, Nr. 61F, Bragadiru, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-7.jpg;https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/centrul-rezidential-taramul-bunicilor-photo-6.jpg";;
"Affinity Domenii Plaza";;;;"Str. Alexandru Constantinescu Nr. 33, Sector 1, București, București";;;;;;https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-7.jpg;https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/affinity-domenii-plaza-photo-9.jpg";;
"Affinity Triumf Residence";;;;"Str. Aviator Mircea Zorileanu Nr. 23, Sector 1, București, București";;;;;;https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-13.jpg;https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-13.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/affinity-triumf-residence-photo-12.jpg";;
"Căminul De Bătrâni Altra Casa Felice";;;;"Str. Erou Iancu Nicolae, nr. 29 Vilele A, B, C, D, Pipera, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-5.jpg;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-13.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-14.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-15.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-16.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-17.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-18.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-19.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-20.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-21.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-22.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-23.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-24.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-altra-casa-felice-photo-25.jpg";;
"Resedinta Bunicilor";;;;"Strada Partiturii nr.11-13, Sector 6, Bucuresti, Bucuresti";;;;;;https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-7.jpg;https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-logo.jpg;;;"https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/resedinta-bunicilor-photo-6.jpg";;
"Caminul De Batrani Sidney";;;;"Sat Tamasi, Strada Visinului, Nr 15, Corbeanca, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-13.jpg, https://www.batranifericiti.ro/photos/companies/caminul-de-batrani-sidney-photo-9.jpg";;
"Casa Primitoare";;;;"Soseaua BUCUREȘTI, nr. 151B-151C Ciorogarla, Ciorogarla, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-7.jpg;;;;"https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/casa-primitoare-photo-6.jpg";;
"Camin Pentru Bunici Pipera";;;;"Erou Iancu Nicolae 22-24, Voluntari, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-1.jpg;;;;"https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/camin-pentru-bunici-pipera-photo-6.jpg";;
"Senior Med";;;;"Str. Popesti Romani Nr 66, Popesti Leorfeni, Ilfov";;;;;;https://www.batranifericiti.ro/photos/companies/senior-med-photo-5.jpg;;;;"https://www.batranifericiti.ro/photos/companies/senior-med-photo-5.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-1.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-2.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-3.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-4.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-6.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-7.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-8.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-9.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-10.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-11.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-12.jpg, https://www.batranifericiti.ro/photos/companies/senior-med-photo-13.jpg";;
